channel,true_share_of_revenue,share_median,share_lo,share_hi,true_roas,roas_median,roas_lo,roas_hi,spend_total,covered
TV,0.09485508178484743,0.1051002638450794,0.0972178775518277,0.11375352120336557,1.056947446247724,1.1711070565781911,1.083275514839065,1.2675282298838426,1790771.0,False
Radio,0.022936781910633548,0.021128745918472355,0.015825224864017547,0.027562289999256116,0.9766645759404761,0.8996771117523147,0.673849392359943,1.1736220197589147,468619.0,True
Print,0.023729837600418108,0.02875348866612989,0.02270060032305305,0.03527856676537421,1.2366208718458285,1.498415828743469,1.1829847585106992,1.8384538819071592,382905.0,True
Paid Search,0.1204788374081199,0.09541574329468314,0.03183650582881315,0.22975516130661572,2.0318450697291746,1.6091623395195187,0.536914605836063,3.874762592825074,1183186.0,True
Paid Social,0.07293852608181002,0.08528334567848203,0.021725674286877186,0.24634586239895467,1.5422359036845688,1.8032587844323051,0.4593747195756552,5.208816995221965,943711.0,True
