channel,platform_share,true_share,gap_pp,abs_gap_pp,estimated_share_median,estimated_share_lo,estimated_share_hi,platform_reported_total,true_contribution_total
TV,0.0,0.2832010110421156,-28.32010110421156,28.32010110421156,0.3002032566522532,0.18702285353893994,0.43107918385194915,0.0,1892750.8352644828
Radio,0.0,0.06848046203657993,-6.848046203657993,6.848046203657993,0.05971357988183152,0.03467881315401562,0.0956770195442795,0.0,457683.57691264997
Print,0.0,0.0708482231405039,-7.08482231405039,7.08482231405039,0.08204785070473052,0.048556564377715564,0.12455341727168702,0.0,473508.3149341269
Paid Search,0.6075522022435254,0.35970374935261135,24.7848452890914,24.7848452890914,0.27657732794610135,0.10491032661792887,0.4976705662555968,3489024.96,2404050.640672583
Paid Social,0.3924477977564747,0.2177665544281892,17.46812433282855,17.46812433282855,0.24981066641241628,0.07499344983769721,0.5115625700547697,2253732.5300000003,1455424.9869020681
