intercept,trend,control,noise,decay__TV,half_saturation__TV,slope__TV,effect__TV,decay__Radio,half_saturation__Radio,slope__Radio,effect__Radio,decay__Print,half_saturation__Print,slope__Print,effect__Print,decay__Paid Search,half_saturation__Paid Search,slope__Paid Search,effect__Paid Search,decay__Paid Social,half_saturation__Paid Social,slope__Paid Social,effect__Paid Social
0.6522769354292939,0.11977812564901437,-0.02189878204840948,0.028594466795908748,0.5971180089043292,1.0008448970873314,1.6766951270073098,0.2902935757153781,0.5247958303658306,1.5739526042600602,1.6079299227024895,0.12896706772452365,0.6017753182130181,1.509541177088576,1.1439951944963043,0.13274455102455454,0.33268566936175475,0.5877469598978605,1.0353802463243271,0.16948957806970794,0.24878185015092935,5.07060828016589,1.2808614166408714,0.08594404418230786
0.257227799965449,0.0899241045754447,-0.031591757019648996,0.02248444722888393,0.5676447088931469,2.2674841671428734,0.8646732811007652,0.48312463498860614,0.37207132550997307,0.9201167541128805,1.8342409915131512,0.06658398744091858,0.5276646361310492,0.5547756222293243,2.0989347921910793,0.0673021427139843,0.35072474156652744,4.162277063119131,1.4456099377301952,0.36646208167518735,0.4059300946976874,0.28109637180054986,1.4305799685130454,0.5264746572410578
0.24372900855182086,0.09631246242466257,-0.02845148351409697,0.028822142011286175,0.5872900778831895,1.5035616402803504,1.0462772402602538,0.3705240501140202,0.27026802471987993,6.447181231615913,0.7142332036115212,0.210425988274748,0.5884248317260362,5.678815271872049,0.9609639647711525,0.2753383217838906,0.27037783323439746,2.8779884362474455,0.7266076872170426,0.32361931400108673,0.30243960865818537,0.16994716175159327,1.161050872437765,0.4884496440143801
0.252982449758911,0.11850413763989999,-0.03844077459180212,0.027109032228390326,0.5645908521154216,1.3390164065736367,0.9498732163170793,0.3937878122970891,0.18172700921591234,1.1580559948990807,0.8000314146144926,0.09050545568738973,0.5308484971623556,1.6738736687740121,0.9915515424090854,0.13871486812260628,0.4470033933340862,1.0598527876727304,0.7477160461403229,0.3075462790503552,0.47256887202328657,0.24064409251292998,1.2763510131024989,0.38175182850398953
0.4349119432516646,0.10976346865636782,-0.03495234042109283,0.025781324353738803,0.5953551230122776,1.983635291007598,0.9066006262608659,0.43940579558091203,0.4325890365283793,1.7980612427766547,1.724780493906687,0.12665479629864515,0.44553311262587536,6.6195691975177615,0.8490774561197801,0.2908752185358828,0.4202073860666685,0.7390747944228595,0.6989978782472703,0.29081918070246093,0.46613606741457647,0.5427752340111186,0.9154982414564352,0.2418827406201871
0.5778395643015203,0.1058974604639182,-0.026291882571195687,0.026688154077001123,0.5693243725126707,1.2001863975961413,1.177328982523285,0.3440393454024462,0.3517478918623238,0.7111971391227883,1.8170354390077752,0.0682206180144279,0.6154575968123571,0.8207404584980821,2.7291802772168055,0.0645108304863124,0.3773940239147588,4.238503109074451,0.7613293578399734,0.32859016558564413,0.49869261434237244,3.3402034982083872,0.6718888779334746,0.31540193202223366
0.692929785335769,0.11341337505495874,-0.028277493817950083,0.027602891282098734,0.6003525846637887,1.1826908935351454,1.041978860444448,0.3650176856386299,0.16737576551897826,5.836168426772455,0.8026291974435649,0.27803581636628527,0.45695102637298135,7.8296125441645,0.697383946026522,0.24486392761803108,0.1405258455934329,1.2083166668502159,2.0383652311076363,0.07509202591422048,0.3629484713049997,1.2680401585284422,1.0359446072647691,0.11170033539905952
0.7356746276292027,0.10307591390018093,-0.024110029529988895,0.030544443974178978,0.5636805836208661,1.0127220263899652,1.1735974226721482,0.323432717059047,0.46040926828487355,4.940913851141461,1.36534288216759,0.32029524958150923,0.6522307594733073,4.588913232495902,1.362099147462539,0.33965849653754493,0.17766423898070605,1.6290847645803974,1.9293482907690986,0.07986839616999623,0.4327343660652452,3.088435508688274,1.5318519349124833,0.12270266894700675
0.6622750731845224,0.11478687593019868,-0.029519554465550022,0.02678916245809743,0.5993264581266543,1.5891366382008039,0.9596308184936979,0.4049891390318466,0.2118160942069635,4.472964734547965,0.8021314917698564,0.22766046831792933,0.41397445624216134,3.3561498960947853,0.7789952486984013,0.17961717023758808,0.31941034446188366,1.666393154553746,2.3044002254138642,0.10257974054387409,0.3161607645498205,1.1159989590821815,0.7507538060221101,0.16463093301887283
0.6505128665971736,0.10616375482424285,-0.020715617268480684,0.02578767507823644,0.5780800115704323,1.0370132485948589,1.2714319357652692,0.31995388500654043,0.36258563597684856,1.2858503991215569,1.2381217724571105,0.1073112756744887,0.5273196066430103,0.993174661600866,1.6027559564846767,0.09836246733894839,0.3852640102351373,1.973942808587075,1.6683711484143704,0.19279703085820943,0.5028573375585219,1.2689615101430312,1.3250961266000634,0.11306693472270626
