channel,platform_share,true_share,gap_pp,abs_gap_pp,estimated_share_median,estimated_share_lo,estimated_share_hi,platform_reported_total,true_contribution_total,platform_over_true_ratio,platform_over_true_pct
TV,0.0,0.2832010110421156,-28.32010110421156,28.32010110421156,0.3002032566522532,0.1870228535389399,0.4310791838519491,0.0,1892750.8352644828,,
Radio,0.0,0.0684804620365799,-6.848046203657993,6.848046203657993,0.0597135798818315,0.0346788131540156,0.0956770195442795,0.0,457683.57691265,,
Print,0.0,0.0708482231405039,-7.08482231405039,7.08482231405039,0.0820478507047305,0.0485565643777155,0.124553417271687,0.0,473508.3149341269,,
Paid Search,0.6075522022435254,0.3597037493526113,24.7848452890914,24.7848452890914,0.2765773279461013,0.1049103266179288,0.4976705662555968,3489024.96,2404050.640672583,1.4513109253904373,45.13109253904373
Paid Social,0.3924477977564747,0.2177665544281892,17.46812433282855,17.46812433282855,0.2498106664124162,0.0749934498376972,0.5115625700547697,2253732.5300000003,1455424.986902068,1.5485047668428191,54.85047668428194
