scenario,total_weekly_budget,gain_median,gain_p10,gain_p90,gain_pct_of_contribution_median,gain_pct_of_contribution_p10,probability_gain_negative,recommend,held_channels,breakeven_roas
plus_25_percent,87314.29394419413,100356.01891079656,67586.52700611128,135597.99371015516,23.959457154526433,15.224542561677909,0.0,True,Print; Search; Out-of-home,2.5
plus_extra_budget,73697.58900150914,73083.742319929,47388.766391448495,100038.1894721462,17.353367990108428,10.563871046500351,0.0,True,Print; Search,2.5
same_total,69851.4351553553,63488.57561578072,38377.98378161389,88488.65766593382,15.10533676473187,8.799970670407044,0.0,True,Print; Search,2.5
