channel,spend_total,spend_mean_week,contribution_median,contribution_lo,contribution_hi,share_median,share_lo,share_hi,roas_median,roas_lo,roas_hi
TV,3087487.7733333325,14843.691217948714,22639670.211184688,13325339.989781553,37808957.31741163,0.059734379747585,0.0351586799538295,0.0997582823950648,7.332715746026197,4.315916683095126,12.245864629479032
Out-of-home,8989331.733333332,43217.94102564102,10086923.59666526,1097408.54133818,29841853.65459046,0.0266141741018121,0.0028954935268515,0.0787372166620392,1.122099383568408,0.1220789902845481,3.3196965625302166
Print,775555.5111111114,3728.632264957266,6770343.883819165,1422309.1875035171,20863589.36524712,0.0178634356775213,0.0037527382833889,0.0550482210392645,8.72967026450438,1.8339231262322209,26.90147780054658
Facebook,446296.8278694579,2145.657826295471,9574310.978470642,2233431.483635266,20850003.93070184,0.0252616545415442,0.0058928704852675,0.0550123761043077,21.45278742888832,5.004363338850677,46.71779548655112
Search,1230426.6666666667,5915.512820512821,12044236.511685178,1318885.1716699873,39924876.380114354,0.0317785105015928,0.0034798557997135,0.1053410983825608,9.788666677969577,1.0718925454070027,32.44799341701064
