scenario,channel,current_spend,recommended_spend,delta,delta_pct,share_current,share_recommended,marginal_roas_current_median,marginal_roas_current_lo,marginal_roas_current_hi,marginal_roas_recommended_median,marginal_roas_recommended_lo,marginal_roas_recommended_hi,contribution_current_median,contribution_recommended_median,contribution_recommended_lo,contribution_recommended_hi,per_draw_share_median,held_by_rule
same_total,Media channel 1,0.3090815783028675,0.38136818039940235,0.07228660209653487,23.387547874400205,0.6563195134700339,0.8098165538918687,4410.007083135227,3917.697855763135,4999.536772220914,3556.963799729865,3176.75686874181,3976.4972587286106,1291.1735419393267,1581.1425880485087,1371.595084592574,1893.0601070998116,0.8073777731981766,False
same_total,Media channel 2,0.16184999078719198,0.08956338869065707,-0.07228660209653491,-44.66271622565661,0.3436804865299661,0.1901834461081314,3090.8032664904995,2583.9881595667366,4191.744344004997,3551.566590541426,2333.1512134305276,4847.965579869988,573.5017730952209,317.1513966840976,119.53943692435865,652.4514396316171,0.19262222680182348,False
plus_25_percent,Media channel 1,0.3090815783028675,0.41771191626798637,0.1086303379651189,35.14617032875138,0.6563195134700339,0.7095925500600355,4410.007083135227,3917.697855763135,4999.536772220914,3170.693852489392,2827.2372622580165,3535.2718336512985,1291.1735419393267,1705.4857400710198,1501.1378416812267,2008.8742490292016,0.7173964533689916,False
plus_25_percent,Media channel 2,0.16184999078719198,0.17095254509458796,0.009102554307395982,5.6240684742234315,0.3436804865299661,0.2904074499399645,3090.8032664904995,2583.9881595667366,4191.744344004997,3049.3623556770262,2457.3517339749596,4166.594543139691,573.5017730952209,603.0622150880779,361.7536709856532,932.7978183760324,0.2826035466310085,False
