same_total,plus_25_percent,plus_extra_budget
63920.4193945094,90155.77396593604,70043.64150845876
58735.5566610407,84248.33467195457,64787.905595737684
64231.52763130644,96797.72087185475,72135.70788294869
87149.8428019752,129292.87078708789,97337.05434243777
70913.98915482254,104267.3916613725,79020.67937952455
93566.6182173047,135429.73706283804,103654.31641398359
38378.31975011603,61204.65632234805,44265.05215329077
76254.47497705423,121924.09927959426,88065.42323241464
50857.152186874824,94708.60957987182,62704.557547687786
27029.94894585811,56661.36157764867,35459.18991524336
44280.888037616794,67346.83542768599,49841.46016118425
62323.24722285167,98487.47563456546,71526.8865723497
85593.07144758193,130323.20584656706,96413.00895703741
70604.0696558131,100732.40527031996,77598.41245531762
70647.92720630503,107750.91281426855,79644.72732174472
35279.64342739523,70767.39501036584,45054.666832923394
50995.059760057135,95840.2373205924,62746.33863756328
45120.48650336254,78783.3097127807,53903.860532972205
96797.33402558696,154766.42817274935,110970.83180353092
88477.36839868932,134299.46502124146,100089.68820791377
47075.99552002968,72898.79358974926,53448.70783042273
63670.33444281173,99063.24833665485,72458.19613848947
69154.37320247368,114070.56768033374,80760.16334436997
61078.464046875015,101316.966181645,71182.60919594293
42855.16307259549,75626.95413515077,51369.09295153129
66460.13449847052,104586.29989194538,76029.56935913122
54828.46716932644,90271.17963301897,63911.253103344
75518.59171896672,112785.45603721152,84408.8064272048
67253.76217153715,119447.8782385952,81233.25064207433
90600.53819378791,135593.71679817024,101980.64985566528
40785.112948843394,68433.79286682367,48202.90308255103
72126.40754205774,111992.6759273751,82086.07243941823
51079.76491858368,92045.86414806789,62264.515195355285
44494.04562497063,72426.38136130205,51532.56328967004
58252.235051734024,94968.21793617716,67530.00840372057
52684.94255267159,84876.9545607419,61065.78860009438
50811.99689742742,82368.35465116682,58927.06316293724
96993.0983561023,163135.945414702,113481.90985909494
49937.11216398358,80046.59527083597,57494.35505454731
27462.665937833604,53439.11256280437,34806.74816149636
54873.84633117786,97163.9204885735,65873.68087307696
51720.10574899061,86353.04772025655,60768.790438889526
36589.60060535057,65158.16796010791,44094.22669314855
20018.032486868324,58490.66123056575,31369.477612106595
75012.59501669277,119279.97918063716,86518.57959613786
67425.12867051637,103531.60470567475,76325.41004885169
35459.96107586863,60634.09053262128,42151.04843280476
77964.55258814181,127013.22645866591,90023.41108125064
91938.43121239077,146936.17196229706,106388.86478487018
118967.28134375147,194810.47007682495,137333.73093976104
33120.53266921616,60795.94081480196,41058.70723567385
52053.625229659956,77352.7198731933,58230.962947272696
37862.7635248634,65104.46150216495,44570.305009215954
75937.43991250859,123062.98670185858,88622.99606877251
50730.92725349532,90368.85928394349,61388.041954332904
76856.01967684459,118089.1927888291,87046.58617847122
25264.404597550514,45059.125495901564,30637.814957161725
40797.18589952914,98712.48912578484,58985.71023038402
60278.96215318545,94764.22762635438,69115.82529716258
82472.49769370409,137900.34345509147,96786.23173590389
78147.31705100427,124690.23315286479,90216.27455578867
64820.75658369367,107638.18167740718,75447.91721450223
37459.182782126474,54744.554611543776,41910.59947873582
66690.18400126696,96968.37032533647,73604.52300536179
69199.42753439798,119018.67666282388,81850.9821333852
45517.23336740566,66057.16176968632,50494.86297141033
105307.2929028389,156805.83855773008,117616.90073558548
88124.31029893697,135439.84718912904,99640.51745076501
44650.56287863734,73842.60988653894,52264.438266109675
42273.530188760604,68978.95657341613,49532.09255247307
46313.58245192148,72262.47033321037,52843.063508556224
37611.449463228,73831.47483397531,47735.66401423863
66971.33546178608,107900.186757911,77389.63782322453
57353.21142907778,87862.2576400548,64795.076375944656
